"ANIO","CCDD","CCPP","CCDI","CONGLOMERADO","NSELUA","UA","Plaguicidas","Fertilizantes","GastoInsumos","Credito","Riego","sup_sembrada_ha","Produccion_t","Rendimiento","tamanoUA","GastoJornal","CantJornaleros","JornalPC","GastoMaq"
2019,"10","01","04","10052","00061","6",1,1,1230,0,1,0.5,4.723,40.76,2,680,15,45.3333333333333,0
2019,"10","01","04","10052","00079","8",1,1,2580,0,1,0.875,12.36,54.88,2,1650,45,36.6666666666667,800
2019,"10","01","04","10052","00084","9",1,0,204,0,1,0.071,0.609,17.5714285714286,1,100,1,100,0
2019,"10","01","04","10052","00091","10",1,1,1497,1,1,0.876,4.7465,44.42,2,600,13,46.1538461538462,1040
2019,"10","01","04","10052","00104","11",1,1,269,0,1,0.27,0.52,14.96,2,0,0,0,0
2019,"10","01","04","10052","00106","12",1,1,2233,1,1,0.703,7.716,52.2288888888889,3,1500,50,30,0
2019,"10","01","04","10052","00122","13",0,0,100,0,1,0.325,0.332,68.9047619047619,1,0,0,0,0
2019,"10","01","04","10052","00131","14",1,1,767,0,1,0.502,1.95,141.066666666667,2,100,2,50,0
2019,"10","01","05","10157","00129","1",1,1,9010,0,1,0.625,11.675,56.6,3,1680,10,168,300
2019,"10","01","05","10157","00130","2",1,1,1392,0,1,1.004,84.14,151.233333333333,4,3680,10,368,1000
2019,"10","01","05","10160","00009","1",0,0,0,0,0,0.125,0.125,1,1,60,1,60,80
2019,"10","01","05","10160","00011","2",1,1,722,0,0,0.375,2.77,11.6,3,180,3,60,130
2019,"10","01","05","10160","00021","3",1,0,202,0,1,0.25,0.3,1.2,1,120,2,60,100
2019,"10","01","05","10160","00029","4",0,0,110,0,0,0.15625,0.44,11.2,2,120,2,60,80
2019,"10","01","05","10160","00037","5",0,0,160,0,1,0.125,0.64,5.12,2,0,0,0,0
2019,"10","01","05","10160","00043","6",1,1,423,0,1,0.1875,1.27,10.72,1,80,2,40,120
2019,"10","01","05","10160","00055","7",0,0,160,0,0,0.125,0.715,11.44,1,80,2,40,70
2019,"10","01","05","10160","00063","8",1,1,1848,0,0,1,7.42,20.08,5,300,5,60,180
2019,"10","01","05","10160","00070","9",0,0,145,0,0,0.125,0.69,11.04,1,250,2,125,120
2019,"10","01","05","10160","00090","11",0,0,468,0,1,0.1875,1.025,8.72,2,180,3,60,90
2019,"10","01","05","10160","00094","12",0,0,140,0,1,0.125,0.93,14.88,1,120,2,60,90
2019,"10","01","05","10160","00100","13",0,1,610,0,1,0.75,3.47,20.86,3,400,5,80,0
2019,"10","01","07","10141","00005","1",0,1,558,0,1,0.75,4.71,13.6,3,340,10,34,0
2019,"10","01","07","10141","00009","2",1,1,380,0,1,0.2496,0.375,1.50240384615385,1,0,0,0,130
2019,"10","01","07","10141","00016","3",0,1,362,0,1,0.375,7.53,134.16,1,6000,125,48,0
2019,"10","01","07","10141","00035","5",1,1,2231,0,1,0.125,9.351,65.778,2,1050,24,43.75,70
2019,"10","01","07","10141","00043","7",1,1,1450,0,1,0,4.415,22.4583333333333,1,5600,48,116.666666666667,0
2019,"10","01","07","10141","00055","8",1,1,2336,0,1,1.625,17.4,103.2,2,4500,60,75,620
2019,"10","01","07","10141","00065","9",1,1,461,0,1,0.25,0.35,2.8,1,180,2,90,75
2019,"10","01","07","10141","00071","10",1,1,640,0,1,0,1.4,2.8,3,230,8,28.75,0
2019,"10","01","07","10141","00074","11",1,1,935,0,1,0.75,3.9,15.6,1,180,2,90,75
2019,"10","01","07","10141","00076","12",0,1,490,0,1,1,2.15,4.3,3,180,6,30,0
2019,"10","01","07","10141","00077","13",0,1,52,0,1,0,0.2025,10.125,1,80,2,40,0
2019,"10","01","07","10141","00090","14",1,1,168,0,1,0.05625,0.415,12.9,1,80,3,26.6666666666667,0
2019,"10","01","08","10166","00002","1",0,1,730,0,1,0.5775,5.52,37.4545454545455,3,760,17,44.7058823529412,0
2019,"10","01","08","10166","00009","2",1,1,462,0,1,0.495,0.98,5.93939393939394,2,710,18,39.4444444444444,0
2019,"10","01","08","10166","00018","3",1,1,772,0,1,0.9075,1.06,6.75757575757576,3,560,14,40,0
