Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,620.989990,626.000000,617.570007,620.919983,620.919983,1468100
2021-07-29,617.039978,625.669983,617.039978,621.700012,621.700012,1068900
2021-07-30,619.030029,622.799988,617.289978,621.630005,621.630005,1403400
2021-08-02,625.869995,627.599976,612.929993,618.750000,618.750000,1466800
2021-08-03,620.229980,624.700012,614.000000,621.280029,621.280029,1067300
2021-08-04,622.469971,627.080017,617.619995,625.679993,625.679993,1306800
2021-08-05,626.989990,632.469971,623.000000,632.080017,632.080017,1158200
2021-08-06,629.270020,631.840027,625.169983,631.380005,631.380005,1127700
2021-08-09,634.979980,634.979980,626.919983,629.219971,629.219971,1118900
2021-08-10,630.479980,633.299988,620.599976,621.739990,621.739990,1540100
2021-08-11,623.760010,627.419983,621.650024,626.030029,626.030029,1328300
2021-08-12,626.000000,636.640015,624.039978,634.349976,634.349976,1163100
2021-08-13,634.489990,638.429993,632.349976,637.309998,637.309998,932800
2021-08-16,637.030029,638.020020,628.190002,636.940002,636.940002,1105500
2021-08-17,636.549988,637.000000,630.219971,635.010010,635.010010,1346300
2021-08-18,632.799988,637.140015,626.049988,626.770020,626.770020,1386500
2021-08-19,624.880005,642.549988,623.630005,637.659973,637.659973,1693700
2021-08-20,639.840027,652.000000,634.530029,647.340027,647.340027,1434000
2021-08-23,645.869995,658.500000,645.520020,656.859985,656.859985,1652400
2021-08-24,659.140015,660.000000,653.400024,657.239990,657.239990,866400
2021-08-25,658.609985,661.059998,651.640015,656.799988,656.799988,1047900
2021-08-26,653.590027,657.909973,649.349976,652.390015,652.390015,1619200
2021-08-27,652.520020,662.609985,651.859985,658.520020,658.520020,1142300
2021-08-30,659.780029,667.669983,659.780029,665.989990,665.989990,1341500
2021-08-31,667.900024,667.900024,660.460022,663.700012,663.700012,1877800
2021-09-01,664.510010,668.960022,662.000000,665.890015,665.890015,1261200
2021-09-02,669.820007,669.849976,661.669983,664.640015,664.640015,1402400
2021-09-03,664.429993,673.880005,664.299988,666.590027,666.590027,1640300
2021-09-07,667.349976,668.869995,656.549988,661.390015,661.390015,1382300
2021-09-08,660.150024,664.080017,657.099976,663.219971,663.219971,1367700
2021-09-09,664.840027,667.460022,659.929993,661.679993,661.679993,1110200
2021-09-10,666.179993,668.869995,658.200012,658.940002,658.940002,1204200
2021-09-13,663.039978,663.599976,640.239990,645.150024,645.150024,2242500
2021-09-14,646.000000,649.580017,642.460022,645.010010,645.010010,2150200
2021-09-15,652.320007,663.309998,650.979980,661.080017,661.080017,2009300
2021-09-16,657.530029,666.469971,654.710022,665.109985,665.109985,2046100
2021-09-17,663.210022,665.000000,652.039978,654.479980,654.479980,3553200
2021-09-20,646.039978,653.929993,633.049988,641.289978,641.289978,2637400
2021-09-21,646.880005,650.950012,640.299988,645.890015,645.890015,2449300
2021-09-22,624.789978,628.940002,615.059998,626.080017,626.080017,5689600
2021-09-23,632.289978,633.820007,627.020020,630.840027,630.840027,2985500
2021-09-24,628.000000,629.030029,618.219971,622.710022,622.710022,2809000
2021-09-27,615.799988,616.659973,602.729980,603.650024,603.650024,4152200
2021-09-28,596.309998,596.309998,578.330017,578.770020,578.770020,5108900
2021-09-29,585.450012,586.549988,576.070007,577.700012,577.700012,2726800
2021-09-30,580.640015,586.190002,573.239990,575.719971,575.719971,2743600
2021-10-01,577.520020,581.469971,568.609985,577.469971,577.469971,2915300
2021-10-04,574.590027,576.799988,552.140015,558.489990,558.489990,3977000
2021-10-05,563.909973,570.289978,559.210022,566.700012,566.700012,2337800
2021-10-06,561.239990,572.159973,560.210022,570.309998,570.309998,2043200
2021-10-07,578.460022,586.150024,576.190002,578.960022,578.960022,2648500
2021-10-08,581.299988,583.609985,575.520020,576.859985,576.859985,2050700
2021-10-11,574.500000,582.280029,571.500000,573.070007,573.070007,1410600
2021-10-12,579.159973,584.219971,574.419983,580.690002,580.690002,1740200
2021-10-13,585.260010,593.539978,582.659973,591.119995,591.119995,2142300
2021-10-14,600.000000,609.440002,596.969971,607.510010,607.510010,2500900
2021-10-15,611.690002,612.250000,607.549988,610.090027,610.090027,1960100
2021-10-18,610.650024,623.469971,607.570007,622.830017,622.830017,1905100
2021-10-19,625.260010,639.390015,625.260010,636.070007,636.070007,2470000
2021-10-20,639.280029,641.289978,630.169983,632.369995,632.369995,1497200
2021-10-21,632.000000,639.169983,629.000000,638.659973,638.659973,1586600
2021-10-22,640.429993,644.429993,634.450012,643.580017,643.580017,1786500
2021-10-25,644.469971,649.619995,639.070007,646.969971,646.969971,1629400
2021-10-26,650.909973,659.190002,642.099976,642.500000,642.500000,2154000
2021-10-27,644.479980,648.809998,639.809998,640.080017,640.080017,1629900
2021-10-28,638.000000,642.489990,633.270020,639.280029,639.280029,2085000
2021-10-29,637.770020,651.309998,637.000000,650.359985,650.359985,1927700
2021-11-01,651.049988,654.000000,634.780029,640.200012,640.200012,2215800
2021-11-02,641.119995,647.739990,639.229980,640.400024,640.400024,1770000
2021-11-03,645.520020,656.500000,640.000000,655.179993,655.179993,1970700
2021-11-04,659.440002,676.080017,657.750000,674.080017,674.080017,2480600
2021-11-05,676.739990,677.760010,661.109985,662.719971,662.719971,2517600
2021-11-08,666.559998,668.250000,661.400024,666.020020,666.020020,1497200
2021-11-09,667.690002,669.659973,663.000000,667.919983,667.919983,1128000
2021-11-10,663.200012,665.809998,645.859985,647.500000,647.500000,2038200
2021-11-11,649.609985,652.570007,642.099976,643.169983,643.169983,1271100
2021-11-12,649.010010,658.469971,647.159973,657.599976,657.599976,1286500
2021-11-15,658.369995,663.669983,655.190002,659.729980,659.729980,1077600
2021-11-16,659.140015,673.739990,658.989990,671.030029,671.030029,1422000
2021-11-17,671.760010,672.739990,662.840027,670.669983,670.669983,1221900
2021-11-18,670.619995,676.549988,665.080017,670.960022,670.960022,1493800
2021-11-19,681.260010,699.500000,678.909973,688.369995,688.369995,3090900
2021-11-22,696.280029,699.539978,672.659973,673.570007,673.570007,2284700
2021-11-23,662.700012,667.570007,648.609985,665.159973,665.159973,2502800
2021-11-24,655.830017,668.869995,647.140015,668.320007,668.320007,2426800
2021-11-26,670.250000,684.000000,659.679993,662.099976,662.099976,2204000
2021-11-29,668.000000,691.359985,665.770020,687.489990,687.489990,2728800
2021-11-30,687.219971,694.890015,667.830017,669.849976,669.849976,4703600
2021-12-01,676.000000,678.780029,656.280029,657.409973,657.409973,2831800
2021-12-02,655.950012,674.849976,653.619995,671.880005,671.880005,2675400
2021-12-03,658.099976,662.090027,604.299988,616.530029,616.530029,6741800
2021-12-06,617.469971,625.900024,605.729980,622.039978,622.039978,3170000
2021-12-07,644.190002,655.219971,640.049988,649.960022,649.960022,3943500
2021-12-08,647.299988,654.650024,641.609985,653.099976,653.099976,2416200
2021-12-09,650.919983,655.719971,630.880005,632.570007,632.570007,2550700
2021-12-10,638.130005,654.969971,635.099976,654.450012,654.450012,2873000
2021-12-13,652.770020,675.210022,650.979980,658.299988,658.299988,3829400
2021-12-14,635.359985,636.000000,599.099976,614.859985,614.859985,5934200
2021-12-15,615.960022,631.250000,604.619995,630.330017,630.330017,4288800
2021-12-16,578.400024,591.580017,556.150024,566.090027,566.090027,10961200
2021-12-17,566.090027,566.989990,545.140015,556.640015,556.640015,7999200
2021-12-20,545.609985,557.270020,543.500000,549.770020,549.770020,3441100
2021-12-21,550.909973,559.890015,538.049988,557.520020,557.520020,4104700
2021-12-22,560.299988,564.919983,552.239990,563.979980,563.979980,4526200
